Desc1,Desc2,Desc3,Desc4,Desc5,Exp,Lab
226.72000,1963.00000,0.57380,22.93000,0.96000,0.03200,Cat22
210.03999,1960.00000,0.55780,14.97000,0.00000,0.19100,Cat18
206.96001,1967.00000,0.55470,13.37000,0.00000,0.25200,Cat19
201.62000,1968.00000,0.55690,12.85000,0.02000,0.32300,Cat21
212.30000,1960.00000,0.55440,14.50000,0.00000,0.37400,Cat14
215.87000,1948.00000,0.55630,16.06000,0.00000,0.51800,Cat01
214.08000,1950.00000,0.55670,19.76000,3.45000,0.55300,Cat04
209.42000,1952.00000,0.56100,22.26000,3.40000,0.65300,Cat08
209.39000,1967.00000,0.56230,22.90000,3.35000,0.74100,Cat16
211.33000,1961.00000,0.55630,22.91000,5.73000,0.75700,Cat07
216.19000,1948.00000,0.55820,19.25000,0.01000,0.75700,Cat02
216.50999,1948.00000,0.55950,21.05000,2.14000,0.76000,Cat03
205.83000,1977.00000,0.55250,18.27000,0.00000,0.76600,Cat10
197.08000,1984.00000,0.56620,24.04000,1.97000,0.84700,Cat13
209.39000,1962.00000,0.56440,25.78000,3.54000,0.93200,Cat17
214.89000,1949.00000,0.55950,20.73000,2.84000,0.94200,Cat06
214.25000,1952.00000,0.55900,20.73000,1.73000,0.98500,Cat05
211.82001,1953.00000,0.56200,22.18000,0.30000,1.03900,Cat09
214.73000,1950.00000,0.56220,21.22000,0.02000,1.09300,Cat15
214.57001,1950.00000,0.55980,20.64000,0.01000,1.28100,Cat11
211.62000,1956.00000,0.56050,25.08000,3.69000,1.36900,Cat12
206.31000,1957.00000,0.56280,20.68000,0.03000,1.47000,Cat20
