El          , Ste1, Ste2,      Exp,       Lab
3-NO2          ,    -0.230,    29.190,     2.060,     1.130
3-CF3          ,    -1.270,    29.210,     2.390,     1.220
3-5-Br         ,    -0.930,    29.120,     2.850,     1.260
3-5-Cl         ,    -0.960,    29.080,     2.450,     1.510
4-CN           ,     1.960,    28.910,     2.030,     1.550
3-I            ,    -1.910,    29.070,     2.260,     1.600
3-COOMe        ,    -3.850,    29.160,     2.780,     1.630
3-Br           ,    -1.790,    29.030,     1.940,     1.850
4-COOMe        ,    -2.000,    28.910,     2.750,     2.080
4-CF3          ,     0.180,    28.910,     2.420,     2.130
3-Cl           ,    -1.820,    29.000,     1.730,     2.130
4-I            ,    -1.340,    28.900,     2.280,     2.270
4-F            ,    -1.320,    28.930,     1.290,     2.270
4-Cl           ,    -1.190,    28.910,     1.740,     2.270
3-F            ,    -1.880,    28.940,     1.290,     2.270
4-Br           ,    -1.120,    28.910,     1.950,     2.440
